from_postcode,BT126BA,BT161RH,BT358DR,BT412RL,BT476SB,BT521HS,BT635QQ,BT746DN
N00000024,24.6777297765005,36.5804618603731,65.3660455230301,20.4713346082219,79.8956428122916,61.9268585241596,39.1166217609521,105.3
N00000025,21.8906326516112,31.4005615242259,59.6134188979342,23.2922777214499,83.2,65.3660455230301,37.8526650536016,104
N00000026,21.8906326516112,35.2996111471651,63.0772787396216,20.4713346082219,80.9910768517414,63.0772787396216,35.2996111471651,101.4
N00000027,24.6777297765005,37.8526650536016,59.6134188979342,24.6777297765005,84.5,66.5045880112487,31.4005615242259,97.5
N00000028,26.0482389454077,39.1166217609521,60.7722753147343,24.6777297765005,84.5,66.5045880112487,34.0096740062926,100.1
N00000029,23.2922777214499,31.4005615242259,67.6393599541199,17.5725337832552,79.8956428122916,61.9268585241596,41.6212373612667,107.9
N00000030,19.0326579023751,28.7486181479082,64.2236410011559,21.8906326516112,83.2,65.3660455230301,41.6212373612667,107.9
N00000031,39.1166217609521,46.5458959812848,80.9910768517414,20.4713346082219,66.5045880112487,59.6134188979342,58.4501735056364,104
N00000032,35.2996111471651,42.8625469209214,77.6959497099794,16.0884404323873,66.5045880112487,56.1100223905244,54.9328533660975,104
N00000033,35.2996111471651,42.8625469209214,77.6959497099794,16.0884404323873,63.0772787396216,56.1100223905244,54.9328533660975,100.1
N00000034,34.0096740062926,41.6212373612667,76.5915751408553,14.5772411907136,66.5045880112487,54.9328533660975,53.7507676882285,104
N00000035,34.0096740062926,41.6212373612667,75.4841013054998,13.034936869946,66.5045880112487,54.9328533660975,52.5636145854392,104
N00000036,34.0096740062926,41.6212373612667,75.4841013054998,13.034936869946,65.3660455230301,54.9328533660975,52.5636145854392,102.7
N00000037,27.4048869057523,40.372699739972,60.7722753147343,26.0482389454077,85.8,67.6393599541199,32.7101681851292,98.8
N00000038,26.0482389454077,41.6212373612667,59.6134188979342,27.4048869057523,87.1,68.7704488886652,31.4005615242259,97.5
N00000039,26.0482389454077,39.1166217609521,60.7722753147343,26.0482389454077,84.5,67.6393599541199,34.0096740062926,100.1
N00000040,26.0482389454077,39.1166217609521,61.9268585241596,24.6777297765005,84.5,66.5045880112487,34.0096740062926,100.1
N00000041,24.6777297765005,39.1166217609521,59.6134188979342,26.0482389454077,84.5,67.6393599541199,32.7101681851292,98.8
N00000042,24.6777297765005,39.1166217609521,59.6134188979342,26.0482389454077,84.5,66.5045880112487,32.7101681851292,98.8
N00000043,26.0482389454077,39.1166217609521,60.7722753147343,24.6777297765005,84.5,66.5045880112487,34.0096740062926,100.1
N00000044,26.0482389454077,39.1166217609521,60.7722753147343,24.6777297765005,84.5,66.5045880112487,32.7101681851292,98.8
