property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 022D,E01014444,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,0.0,193.5,0.0,253.5,0.0,-0.5544846324585885,0.015444753633451056,0.10904917191932517,0.009037883674944264,0.4858737435381098,0.17455477704476807,3.333333333,0.0004282838665039188
Bath and North East Somerset 022E,E01014445,30.0,0.0,60.0,0.0,80.0,0.0,101.90000000000002,0.0,131.9,0.0,195.6,,255.6,,-0.5443770398096816,0.017456468442759852,0.10540952728649763,0.010739552131785748,0.5351580572902166,0.21412532976705054,1.666666667,0.000214141933316202
Bath and North East Somerset 023A,E01014393,30.0,0.0,60.0,0.0,80.0,0.0,100.8,0.0,130.8,0.0,,,,,-0.5344524278283935,0.0,0.09823347024709594,0.0,0.6870206347775829,0.0,2.666666667,0.0003426270932802261
Bath and North East Somerset 023B,E01014394,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,0.0,196.7,0.0,256.7,0.0,-0.5414190405210788,0.012620750518876966,0.10486960365043582,0.007988321608384518,0.5345791804891286,0.16199760992016,3.333333333,0.0004282838665039188
Bath and North East Somerset 023C,E01014439,30.0,0.0,60.0,0.0,80.0,0.0,105.09999999999998,0.0,135.1,,198.8,,258.8,,-0.5465575221108852,,0.11107976788099538,,0.38170109813658404,,6.333333333,0.0008137393463959913
Bath and North East Somerset 023E,E01014441,30.0,0.0,60.0,0.0,80.0,0.0,105.1,0.0,135.1,0.0,198.8,,258.8,,-0.5357739468455783,0.015250278391067953,0.10383871322022753,0.01024039770714281,0.5334742407586874,0.21463963670016473,2.333333333,0.00029979870653989467
Bath and North East Somerset 024A,E01014448,30.0,0.0,60.0,0.0,80.0,0.0,101.90000000000002,0.0,131.9,0.0,195.6,0.0,255.6,0.0,-0.556720627021126,0.0,0.11300353742578978,0.0,0.3837485845881295,0.0,3.666666667,0.00047111225324425026
Bath and North East Somerset 024B,E01014449,30.0,,60.0,,80.0,,104.1,,134.1,,197.8,,257.8,,-0.5497312176503435,,0.11168070984588829,,0.38234049011898474,,0.666666667,8.565677335217782e-05
Bath and North East Somerset 024C,E01014450,30.0,,60.0,,80.0,,105.1,,,,,,,,,,,,,,1.666666667,0.000214141933316202
Bath and North East Somerset 024D,E01014451,30.0,,60.0,,80.0,,103.0,,,,,,,,,,,,,,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 025A,E01014420,30.0,0.0,60.0,0.0,80.0,0.0,106.2,0.0,136.2,0.0,,,,,-0.52256723755205,0.0,0.09617833471744708,0.0,0.684792889255142,0.0,2.0,0.00025697031992804833
Bath and North East Somerset 025C,E01014422,30.0,0.0,60.0,0.0,80.0,0.0,107.3,0.0,137.3,,,,,,-0.5201430464894439,,0.09575866086467022,,0.6843380411691161,,3.666666667,0.00047111225324425026
Bath and North East Somerset 025D,E01014423,30.0,,60.0,,80.0,,107.3,,,,,,,,,,,,,,0.666666667,8.565677335217782e-05
Bath and North East Somerset 026A,E01014469,30.0,,60.0,,80.0,,105.1,,135.1,,,,,,-0.5249903715802715,,0.09659765855945968,,0.6852473833807909,,2.333333333,0.00029979870653989467
Bath and North East Somerset 026B,E01014470,30.0,,60.0,,80.0,,106.2,,,,,,,,,,,,,,2.0,0.00025697031992804833
Bath and North East Somerset 026C,E01014471,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,0.0,197.8,,257.8,,-0.5384617593728868,0.015937420736577054,0.1043296339741493,0.010395991195846915,0.53400037116099,0.2144794606374941,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 027A,E01014424,30.0,0.0,60.0,0.0,80.0,0.0,108.4,0.0,138.4,,202.1,,262.1,,-0.5360990127950895,,0.10909819846709917,,0.379594021191515,,3.0,0.00038545547989207247
Bath and North East Somerset 027B,E01014425,30.0,,60.0,,80.0,,107.3,,,,,,,,,,,,,,3.0,0.00038545547989207247
Bath and North East Somerset 027C,E01014426,30.0,0.0,60.0,0.0,80.0,0.0,108.4,0.0,138.4,0.0,,,,,-0.5177178011662404,0.0,0.09533863726498404,0.0,0.6838828397193015,0.0,2.666666667,0.0003426270932802261
Bristol 001A,E01014601,30.0,,60.0,,80.0,,92.2,,,,,,,,,,,,,,1.666666667,0.000214141933316202
Bristol 001B,E01014602,30.0,0.0,60.0,0.0,80.0,0.0,94.4,0.0,124.40000000000002,0.0,,,124.4,,-0.6959581072282027,0.2553960355170171,0.13154124702819953,0.05349096969866833,0.6165837984139532,0.12655399980784526,3.333333333,0.0004282838665039188
Bristol 001C,E01014603,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.0,0.00025697031992804833
Bristol 001G,E01032516,30.0,0.0,60.0,0.0,80.0,0.0,96.5,0.0,126.5,,,,,,-0.5438981216914698,,0.09986391380020931,,0.6887884331545439,,2.666666667,0.0003426270932802261
Bristol 001H,E01032517,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,,,,,,-0.5509167558604982,,0.1010737740467148,,0.6901004445073456,,2.333333333,0.00029979870653989467
Bristol 002A,E01014688,30.0,0.0,60.0,0.0,80.0,0.0,90.09999999999998,0.0,,,,,,,,,,,,,3.0,0.00038545547989207247
Bristol 002B,E01014689,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,121.2,,-0.7786821192653153,0.31560211260144616,0.1485771382661686,0.06605935345601983,0.5817856404871375,0.15439556797347612,1.666666667,0.000214141933316202
